,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
11,149,144,"Monday, Sep 11",boxscore,PIT,,WSN,L,2,6,,66-78,4,14.5,Corbin,Jackson,,2:24,N,10045,.00,--,,.236,.312,.700,7,9,3,4.53
12,150,145,"Tuesday, Sep 12",boxscore,PIT,,WSN,W,5,1,,67-78,4,14.5,Falter,Adon,,2:22,N,9222,.00,+,,.237,.313,.703,11,6,0,4.51
13,151,146,"Wednesday, Sep 13",boxscore,PIT,,WSN,W,7,6,,68-78,4,13.5,Priester,Rutledge,Bednar,2:38,N,9883,.00,++,,.237,.314,.704,11,8,2,4.51
14,152,147,"Thursday, Sep 14",boxscore,PIT,,WSN,W,2,0,,69-78,4,13.5,Keller,Gray,Bednar,1:50,D,10728,.00,+++,,.237,.313,.703,5,2,0,4.48
15,153,148,"Friday, Sep 15",boxscore,PIT,,NYY,L,5,7,,69-79,4,14.5,Ramirez,Holderman,Holmes,3:15,N,31534,.00,-,,.237,.313,.702,9,11,0,4.50
16,154,149,"Saturday, Sep 16",boxscore,PIT,,NYY,L,3,6,,69-80,4,15.5,Brito,Ortiz,Holmes,2:37,N,31922,.00,--,,.236,.312,.701,4,9,2,4.51
17,155,150,"Sunday, Sep 17",boxscore,PIT,,NYY,W,3,2,,70-80,4,14.5,Borucki,Rodón,Bednar,2:22,D,29565,.00,+,,.237,.312,.701,8,4,1,4.49
18,156,151,"Tuesday, Sep 19",boxscore,PIT,@,CHC,L,1,14,,70-81,4,15.0,Assad,Falter,,2:38,N,34202,.00,-,,.236,.312,.699,5,12,4,4.56
19,157,152,"Wednesday, Sep 20",boxscore,PIT,@,CHC,W,13,7,,71-81,4,15.0,Keller,Steele,,2:58,N,31491,.00,+,,.237,.312,.702,15,12,2,4.57
20,158,153,"Thursday, Sep 21",boxscore,PIT,@,CHC,W,8,6,,72-81,4,15.0,Oviedo,Hendricks,,3:02,N,31544,.00,++,,.238,.313,.704,11,10,1,4.58
21,159,154,"Friday, Sep 22",boxscore,PIT,@,CIN,W,7,5,,73-81,4,15.0,Borucki,Gibaut,Bednar,3:34,N,37551,.00,+++,,.238,.313,.706,8,7,1,4.59
22,160,155,"Saturday, Sep 23",boxscore,PIT,@,CIN,W,13,12,,74-81,4,14.0,Hernandez,Díaz,Mlodzinski,3:22,N,29680,.00,++++,,.239,.315,.708,16,16,3,4.64
23,161,156,"Sunday, Sep 24",boxscore,PIT,@,CIN,L,2,4,,74-82,4,14.0,Sims,Hernandez,Gibaut,2:36,D,31191,.00,-,,.238,.315,.708,7,6,2,4.64
24,162,157,"Tuesday, Sep 26",boxscore,PIT,@,PHI,L-wo,2,3,10,74-83,4,14.0,Hoffman,Bednar,,2:49,N,32116,.00,--,,.238,.314,.706,5,5,1,4.62
