,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
19,139,135,"Wednesday, Aug 30",boxscore,CIN,@,SFG,W,4,1,,69-66,3,6.0,Greene,Webb,Díaz,2:32,D,25140,1.23,+,,.247,.323,.733,11,4,0,4.70
20,141,136,"Friday, Sep 1 (1)",boxscore,CIN,,CHC,L,2,6,,69-67,3,6.5,Wicks,Ashcraft,Thompson,2:45,D,21480,1.34,-,,.246,.323,.731,7,10,3,4.71
21,142,137,"Friday, Sep 1 (2)",boxscore,CIN,,CHC,W-wo,3,2,,70-67,3,6.5,Díaz,Alzolay,,2:52,N,27465,1.20,+,,.246,.323,.731,8,5,1,4.69
22,143,138,"Saturday, Sep 2",boxscore,CIN,,CHC,W-wo,2,1,,71-67,3,6.5,Moll,Leiter,,2:41,N,38246,1.38,++,,.247,.323,.732,9,5,1,4.66
23,144,139,"Sunday, Sep 3",boxscore,CIN,,CHC,L,7,15,,71-68,3,6.5,Palencia,Law,,3:17,D,37029,1.56,-,,.247,.323,.734,11,18,2,4.72
24,145,140,"Monday, Sep 4",boxscore,CIN,,SEA,W,6,3,,72-68,3,5.5,Sims,Woo,Gibaut,2:46,D,20994,1.19,+,,.247,.324,.734,8,9,2,4.70
25,146,141,"Tuesday, Sep 5",boxscore,CIN,,SEA,W-wo,7,6,,73-68,3,5.5,Díaz,Muñoz,,3:17,N,17863,1.28,++,,.248,.325,.738,13,9,3,4.71
26,147,142,"Wednesday, Sep 6",boxscore,CIN,,SEA,L,4,8,,73-69,3,5.5,Gilbert,Richardson,,2:51,N,13423,1.30,-,,.248,.325,.738,10,11,3,4.74
27,148,143,"Friday, Sep 8",boxscore,CIN,,STL,L,4,9,,73-70,3,6.5,Liberatore,Abbott,,3:11,N,29870,1.30,--,,.249,.326,.739,10,9,1,4.77
28,149,144,"Saturday, Sep 9",boxscore,CIN,,STL,L,3,4,,73-71,3,7.5,Thompson,Spiers,Helsley,3:03,N,40810,1.07,---,,.248,.326,.738,6,8,1,4.76
29,150,145,"Sunday, Sep 10",boxscore,CIN,,STL,W,7,1,,74-71,3,6.5,Greene,Mikolas,,2:28,D,31190,.88,+,,.249,.326,.741,10,1,0,4.73
0,118,114,"Monday, Aug 7",boxscore,TOR,@,CLE,W,3,1,,64-50,3,7.0,Swanson,De Los Santos,Hicks,2:28,N,18198,1.09,++++,,.261,.331,.752,5,5,0,3.75
1,119,115,"Tuesday, Aug 8",boxscore,TOR,@,CLE,L,0,1,,64-51,3,7.0,Bibee,Kikuchi,Clase,2:14,N,19467,1.11,-,,.261,.331,.750,9,3,0,3.73
2,120,116,"Wednesday, Aug 9",boxscore,TOR,@,CLE,W,1,0,,65-51,3,6.0,Gausman,Allen,Hicks,2:26,N,21227,1.13,+,,.260,.330,.749,8,6,0,3.69
3,121,117,"Thursday, Aug 10",boxscore,TOR,@,CLE,L,3,4,,65-52,3,7.0,Syndergaard,Manoah,Clase,3:00,D,23905,1.23,-,,.261,.331,.749,10,5,0,3.70
4,122,118,"Friday, Aug 11",boxscore,TOR,,CHC,L,2,6,,65-53,3,7.0,Assad,Berríos,,2:46,N,41814,1.23,--,,.260,.330,.746,5,10,2,3.70
5,123,119,"Saturday, Aug 12",boxscore,TOR,,CHC,L,4,5,,65-54,3,8.0,Merryweather,Hicks,Alzolay,2:46,D,42585,1.21,---,,.260,.329,.746,8,7,1,3.71
6,124,120,"Sunday, Aug 13",boxscore,TOR,,CHC,W,11,4,,66-54,3,8.0,Ryu,Taillon,,2:56,D,41960,1.13,+,,.261,.331,.748,14,5,1,3.70
7,125,121,"Tuesday, Aug 15",boxscore,TOR,,PHI,W,2,1,,67-54,3,7.5,Hicks,Domínguez,Romano,2:30,N,42615,1.10,++,,.260,.331,.746,4,4,0,3.68
8,126,122,"Wednesday, Aug 16",boxscore,TOR,,PHI,L,4,9,,67-55,3,7.5,Nola,Gausman,,2:51,N,42701,1.13,-,,.259,.330,.744,5,11,3,3.70
9,127,123,"Friday, Aug 18",boxscore,TOR,@,CIN,L-wo,0,1,,67-56,3,8.5,Díaz,Hicks,,2:38,N,28504,1.15,--,,.258,.329,.741,3,4,1,3.68
10,128,124,"Saturday, Aug 19",boxscore,TOR,@,CIN,W,4,3,,68-56,3,8.5,Bassitt,Williamson,Romano,2:41,N,38461,1.08,+,,.258,.329,.741,9,6,1,3.67
11,129,125,"Sunday, Aug 20",boxscore,TOR,@,CIN,W,10,3,,69-56,3,8.5,Ryu,Greene,Francis,2:41,D,31529,1.15,++,,.258,.329,.745,12,7,1,3.65
12,130,126,"Tuesday, Aug 22",boxscore,TOR,@,BAL,W,6,3,10,70-56,3,7.5,Mayza,Baumann,Romano,3:06,N,20612,1.24,+++,,.259,.329,.745,12,9,0,3.64
13,131,127,"Wednesday, Aug 23",boxscore,TOR,@,BAL,L,0,7,,70-57,3,8.5,Kremer,Gausman,,2:45,N,19132,1.25,-,,.258,.328,.742,5,10,2,3.67
14,132,128,"Thursday, Aug 24",boxscore,TOR,@,BAL,L,3,5,,70-58,3,9.5,Gibson,Berríos,Bautista,2:12,N,19432,1.17,--,,.257,.328,.741,6,10,2,3.68
15,133,129,"Friday, Aug 25",boxscore,TOR,,CLE,L,2,5,,70-59,3,10.5,Bibee,Bassitt,Clase,2:43,N,40755,1.08,---,,.257,.327,.741,6,8,3,3.69
